Process Time: 104.73983192443848
cost_init,cost_final,confilct_init,conflict_final
1118.0 232.7999999999996 330 38
gapx, gapy = 20,8
minX, maxX = -20,500
minY, maxY = -20,500
100.33 578.218 3
409.117 99.8472 3
43.4672 489.913 1
73.5391 164.208 2
625.239 189.358 3
261.358 95.5236 2
113.284 318.999 2
408.924 81.4914 2
243.934 258.68 3
330.644 311.895 2
520.313 129.842 3
173.744 362.582 2
177.814 72.3322 3
329.528 340.296 2
326.544 445.741 2
455.37 305.288 4
237.444 531.701 1
533.882 310.312 1
218.224 309.337 3
603.944 11.0212 2
262.328 404.744 1
93.7265 486.795 4
394.216 395.383 4
585.821 458.692 3
425.634 343.925 4
151.093 380.193 1
622.66 243.074 1
319.094 527.522 2
44.7411 182.96 3
495.588 455.72 4
527.185 173.077 3
489.971 459.32 1
613.452 346.878 4
605.522 54.971 1
256.618 276.746 4
225.381 265.927 1
346.888 504.93 2
95.7918 336.755 1
524.395 74.5326 2
214.964 463.904 3
256.653 375.262 3
370.111 197.329 3
235.209 54.0656 1
546.497 215.83 1
449.62 258.265 4
357.398 101.729 1
298.055 550.964 1
485.223 293.567 2
461.443 476.411 2
446.493 584.5 4
558.753 599.527 4
165.361 550.221 2
111.405 444.419 3
409.869 29.1647 2
270.994 105.715 1
49.7402 221.804 3
269.48 571.096 3
262.135 476.643 1
534.424 572.138 2
283.656 492.76 3
209.808 521.23 3
128.259 566.348 3
77.6889 379.537 2
231.098 34.6271 3
339.553 166.15 4
52.2657 416.924 1
595.967 77.3994 1
121.002 32.4846 1
10.5194 35.8431 1
372.463 372.993 4
486.883 164.758 1
533.983 413.44 1
540.599 295.874 3
519.782 153.023 1
50.2421 598.987 1
627.81 556.581 2
173.969 594.749 3
545.653 548.005 4
373.531 54.8938 2
374.026 185.488 1
632.401 514.872 2
7.08369 233.79 3
260.33 504.649 4
391.993 576.104 3
253.276 120.789 3
220.289 179.679 1
444.342 520.913 1
463.258 264.827 1
154.181 300.449 1
212.586 561.812 2
254.528 251.934 4
210.283 312.493 1
288.855 196.625 2
74.8617 117.296 4
269.489 213.466 3
394.158 618.771 1
162.925 521.172 1
546.048 492.231 2
391.162 113.32 1
358.083 173.328 1
49.8174 59.8157 4
584.452 595.135 1
191.288 475.572 1
327.857 33.2704 3
18.5681 268.736 1
556.388 532.821 1
583.253 154.268 3
244.747 239.31 2
500.143 244.899 3
350.98 539.991 3
466.394 418.815 1
124.051 329.285 1
0.907175 509.466 3
423.728 45.1657 1
173.075 625.4 4
330.829 298.403 3
273.484 132.641 1
354.173 89.1632 3
419.655 188.268 1
464.281 93.6321 3
434.846 20.9514 4
122.229 324.055 4
550.347 566.251 1
372.617 553.039 1
522.368 24.2906 3
165.994 14.9486 3
505.49 333.532 1
571.347 283.646 3
265.416 19.2142 3
444.136 589.664 3
109.826 337.527 3
131.946 168.068 4
79.3214 135.391 3
616.503 390.047 1
352.984 274.295 1
318.685 527.136 3
548.146 614.331 4
61.7306 555.963 3
170.134 53.2623 3
98.9979 61.5812 1
279.13 366.199 3
414.965 459.908 4
34.3568 295.623 4
394.698 209.673 1
476.383 430.889 1
584.124 34.878 2
149.228 268.012 3
571.645 363.926 1
182.287 215.58 1
103.36 533.274 3
331.428 51.6069 3
3.16546 289.236 1
446.496 404.03 3
86.7891 386.688 1
379.103 208.671 4
475.863 280.221 1
326.252 179.572 2
91.5089 203.921 3
138.273 507.15 4
387.05 290.46 3
553.461 369.182 3
171.572 24.0396 4
557.157 62.9517 3
102.163 231.291 1
512.11 515.411 2
464.671 449.466 3
415.336 495.404 1
181.908 603.86 1
236.097 366.672 3
243.451 179.302 4
154.104 187.085 3
361.993 312.57 3
561.845 125.906 1
428.553 333.763 4
56.7965 232.304 1
319.384 218.629 1
263.426 603.542 2
14.0516 359.926 4
589.423 212.858 3
94.5951 10.6636 2
452.226 611.542 3
336.798 448.145 1
346.756 66.2238 2
302.804 610.589 1
566.189 84.3673 2
407.074 144.378 2
328.417 234.939 1
348.469 255.129 3
520.458 322.742 1
426.877 164.169 3
236.738 493.03 1
574.109 589.162 4
100.446 395.142 2
472.288 423.554 3
27.2346 564.514 2
434.528 459.919 3
197.706 442.344 2
74.9867 92.5898 3
305.274 575.255 1
185.39 284.467 3
63.0583 192.997 4
502.586 562.709 2
428.816 12.4109 3
189.522 543.861 1
109.606 117.161 4
371.79 245.015 2
131.486 11.1177 2
194.695 626.281 1
172.914 413.44 3
595.959 258.777 1
35.071 589.171 3
339.419 376.15 1
534.195 526.084 3
226.396 94.9344 4
160.542 111.604 3
87.9096 615.123 1
230.847 550.983 2
472.635 310.389 1
602.748 163.571 1
105.287 174.1 3
625.099 138.305 1
140.882 435.656 1
562.294 412.572 1
450.133 242.225 1
228.816 124.837 1
497.931 65.0362 1
352.251 148.101 3
183.5 163.108 1
255.186 235.141 4
551.798 192.128 2
80.5039 533.4 1
195.205 465.67 2
455.788 602.287 4
449.002 97.5208 4
491.84 144.376 3
184.736 340.181 4
138.296 507.911 2
246.892 433.697 2
374.953 428.515 1
264.808 415.418 1
104.141 554.699 3
368.401 15.8944 3
547.327 379.913 4
263.766 589.452 2
171.257 137.485 3
249.49 310.254 3
416.403 270.821 2
49.4283 421.122 2
63.8024 163.911 4
615.887 245.999 2
145.493 177.951 3
602.184 101.488 2
154.644 398.24 4
569.184 74.8534 3
293.395 455.539 2
563.165 403.712 2
348.769 346.251 1
497.251 504.179 2
79.3981 35.729 3
233.738 77.4573 4
562.121 489.16 4
570.517 203.246 1
354.204 503.626 1
79.2757 467.108 1
203.362 298.315 3
411.085 167.963 1
436.274 534.027 1
24.3972 243.441 3
263.255 320.445 1
270.145 310.256 1
366.769 567.075 3
122.742 430.773 3
608.607 330.896 2
340.48 110.221 3
568.664 468.691 2
594.288 623.403 3
421.002 233.125 1
617.287 379.336 4
79.1914 334.525 3
584.723 293.143 1
147.268 299.04 3
630.194 172.565 2
369.008 78.7983 3
282.904 434.99 2
293.299 508.259 2
91.6866 41.7494 1
604.757 546.814 1
367.001 483.823 4
154.114 251.586 1
59.1756 341.291 1
400.847 358.247 1
173.886 318.052 1
210.385 154.364 1
479.454 373.66 3
514.832 144.153 1
127.24 411.77 1
121.118 496.543 3
520.329 44.4028 2
369.5 591.575 1
18.6453 76.9941 1
578.546 111.004 2
441.521 1.48622 4
92.1265 230.026 3
106.68 289.833 1
87.9381 597.664 4
107.938 507.101 2
118.589 125.827 1
264.76 587.02 1
331.389 216.875 3
210.127 424.963 2
72.9011 103.613 3
76.9717 253.709 2
238.182 617.362 1
554.96 44.1621 1
144.251 73.4233 1
