Process Time: 826.9950151443481
cost_init,cost_final,confilct_init,conflict_final
4889.4 980.9999999999729 1424 42
gapx, gapy = 20,8
minX, maxX = -20,500
minY, maxY = -20,500
870.3 1060.95 4
556.544 858.548 4
225.811 791.967 4
353.003 321.354 4
775.185 977.481 3
599.106 1176.94 4
567.439 906.024 4
195.671 628.362 2
477.389 121.279 4
933.68 1154.93 3
402.563 234.114 4
695.518 705.445 2
343.12 632.333 4
21.5367 1298.58 4
1167.93 1335.75 4
521.721 224.662 4
1231.26 1232.71 4
1111.39 1108.87 4
676.22 451.623 2
710.725 588.944 4
366.426 1250.57 4
1002.34 340.905 4
632.21 13.1792 4
212.901 532.634 4
958.749 503.328 3
1092.85 203.8 4
1404.85 1386.42 4
356.37 207.598 4
421.738 515.154 3
364.958 424.966 4
1221.07 946.19 3
514.464 67.5449 1
413.452 385.906 4
26.6295 439.193 4
549.787 883.91 3
1273.96 719.286 4
282.702 1164.23 2
315.368 437.439 4
885.507 914.942 4
611.77 319.036 4
138.931 1362.7 4
58.6109 1044.25 4
889.478 98.5767 4
1035.57 914.597 4
499.484 1352.58 4
1056.27 1274.89 4
824.005 1041.44 4
1140.21 691.116 4
442.504 193.429 4
665.738 1113.0 4
476.644 35.8657 3
303.542 937.53 3
76.6366 82.5083 3
1125.61 576.268 1
1143.21 1379.07 4
2.02851 904.7 4
258.742 1338.25 4
305.139 1322.6 4
94.6492 1016.8 4
554.041 696.397 4
869.064 861.036 4
986.76 776.831 1
521.548 617.07 3
395.472 1080.69 4
901.612 379.978 1
748.614 241.824 3
821.372 464.355 4
448.645 667.092 3
1198.36 370.828 4
992.587 830.047 4
858.748 425.455 4
416.38 598.366 3
150.8 267.735 3
646.057 999.147 4
720.669 1234.37 2
215.453 683.822 4
865.488 428.446 2
448.17 198.507 2
514.729 1024.89 3
247.089 44.9447 3
1348.85 434.245 3
1364.72 580.772 2
716.71 231.783 2
373.356 620.377 4
1068.49 631.053 3
787.765 557.265 2
334.969 581.447 3
176.092 1371.05 4
773.335 1263.9 3
1004.71 1169.6 3
234.185 307.615 4
1273.21 540.605 4
1378.79 946.652 3
620.581 1371.43 4
30.699 1328.82 3
1242.89 118.948 4
1006.11 999.535 4
896.704 1333.48 4
1276.19 434.791 4
374.936 686.153 4
1175.41 599.849 4
1198.63 1172.33 4
591.966 1376.15 4
1262.94 416.852 4
646.014 919.733 4
796.106 1102.0 3
479.252 99.2673 4
130.385 1035.03 4
31.4203 140.371 4
901.261 784.011 4
665.886 99.3968 3
334.781 573.119 4
735.263 676.14 2
824.054 624.434 3
557.321 1124.97 3
937.264 71.1703 3
