1,4110,8065
2,4288,9739
3,4660,12051
4,4227,7180
5,4363,8977
6,3610,8025
7,4988,9715
8,3919,7816
9,3424,7792
10,3975,7555
11,4815,10362
12,4125,7700
13,3768,8228
14,3390,9849
15,3769,9734
16,4007,8072
17,2672,8005
18,4742,12032
19,4142,12239
20,3122,8235
21,4496,8964
22,4236,8783
23,4490,9711
24,4398,7592
25,4250,9234
26,4155,7305
27,3889,7703
28,4185,7914
29,4607,11833
30,3155,9714
31,3868,8753
32,2881,9701
33,3235,9088
34,4927,12312
35,4692,9801
36,3083,8328
37,4311,7523
38,3990,7973
39,3235,9530
40,4256,11447
41,3321,8757
42,3426,8871
43,3616,9591
44,3222,11097
45,3717,10451
46,4023,7477
47,4476,8563
48,4365,7938
49,3905,9567
50,4165,8354
51,3343,9405
52,3947,8741
53,2795,8245
54,3045,8428
55,4724,12243
56,4305,7615
57,3260,8234
58,3392,8035
59,4099,7519
60,3796,12129
61,4452,8957
62,4036,8062
63,4062,10322
64,3815,7907
65,3992,8381
66,3722,9329
67,4210,7259
68,3980,8965
69,4767,11741
70,4168,8625
71,4354,9673
72,4249,9639
73,3251,9375
74,3364,9661
75,4480,10696
76,3523,9668
77,3242,8702
78,3871,9323
79,4760,12233
80,4141,7567
81,4187,10366
82,4282,7395
83,3208,8109
84,4649,8435
85,2734,8253
86,3844,12272
87,3568,10595
88,3442,11970
89,3376,11787
90,3734,12188
91,3778,12242
92,4145,8271
93,3271,11715
94,3411,11731
95,2942,9850
96,3146,10044
97,4076,11188
98,3837,7560
99,3667,12165
100,3884,9761
101,3853,10600
102,4494,12303
103,4495,9310
104,3862,9019
105,3977,9484
106,4210,8648
107,4442,7202
108,4557,9417
109,2989,8132
110,4343,8394
111,3859,12149
112,4361,7297
113,3340,10453
114,3594,7780
115,4159,10923
116,4227,8910
117,4316,7761
118,4402,9246
119,3727,7994
120,3754,7745
121,3983,8489
122,3877,11209
123,4564,8942
124,3952,11981
125,5042,10465
126,4018,12224
127,4033,7593
128,4116,8124
